fname	allTokensPre	uniqueTokensPre	allTokensPost	uniqueTokensPost
20180508_1214_case_8_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	7528910	1245125	6781085	1071102
20180509_0132_case_17_entities_3000_qlimit500_exact_d3_bn_1_false_true_false_PP.txt	85026	16845	58011	12892
20180508_1213_case_7_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	1365327	267468	1362460	264586
20180508_1213_case_7_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	146494	60260	143496	57261
20180509_0132_case_10_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	191104	42807	135479	33659
20180509_0132_case_11_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	183287	41416	130214	32590
20180509_0132_case_11_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	972478	411201	672256	318317
20180509_0132_case_9_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	1560342	612886	1226678	513598
20180509_0132_case_10_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	270879	62265	196299	46187
20180509_0132_case_15_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	270696	62222	196177	46152
20180509_0132_case_9_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	10433820	456969	10350354	440299
20180509_0132_case_13_entities_3000_qlimit500_exact_d1_bn_1_false_false_true_PP.txt	972478	411201	672256	318317
20180508_1214_case_8_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	10499668	945069	9824614	857690
20180509_0132_case_11_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	270696	62222	196177	46152
20180509_0132_case_9_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	8153976	869692	7694813	776525
20180509_0132_case_15_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	174884	39897	124828	31411
20180509_0132_case_17_entities_3000_qlimit500_exact_d1_bn_1_false_true_false_PP.txt	972478	411201	672256	318317
20180509_0132_case_17_entities_3000_qlimit500_exact_d2_bn_1_false_true_false_PP.txt	270696	62222	196177	46152
20180508_1213_case_7_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	2429652	255087	2426886	252314
20180509_0132_case_13_entities_3000_qlimit500_exact_d2_bn_1_false_false_true_PP.txt	270696	62222	196177	46152
20180509_0132_case_15_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	972478	411201	672256	318317
20180509_0132_case_10_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	972478	411201	672256	318317
20180508_1214_case_8_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	1202364	494790	917974	405241
20180509_0132_case_13_entities_3000_qlimit500_exact_d3_bn_1_false_false_true_PP.txt	179906	41415	126833	32589
