fname	allTokensPre	uniqueTokensPre	allTokensPost	uniqueTokensPost
20180509_0211_case_10_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	1071146	461396	784278	366937
20180509_0211_case_15_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	21112	6038	19608	5028
20180509_0211_case_17_entities_3000_qlimit500_exact_d3_bn_1_false_true_false_PP.txt	4823	1474	4367	1160
20180509_0211_case_17_entities_3000_qlimit500_exact_d1_bn_1_false_true_false_PP.txt	1071146	461396	784278	366937
20180509_0211_case_15_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	1071146	461396	784278	366937
20180509_0211_case_11_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	21337	6095	19811	5073
20180509_0211_case_10_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	190831	63979	140430	47850
20180509_0211_case_9_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	1560342	612886	1226678	513598
20180509_0211_case_11_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	1071146	461396	784278	366937
20180509_0211_case_13_entities_3000_qlimit500_exact_d1_bn_1_false_false_true_PP.txt	1071146	461396	784278	366937
20180509_0211_case_11_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	190631	63934	140293	47813
20180509_0211_case_13_entities_3000_qlimit500_exact_d2_bn_1_false_false_true_PP.txt	190631	63934	140293	47813
20180509_0211_case_9_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	10433820	456969	10350354	440299
20180509_0211_case_15_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	190631	63934	140293	47813
20180509_0211_case_10_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	21736	6176	20167	5123
20180509_0211_case_17_entities_3000_qlimit500_exact_d2_bn_1_false_true_false_PP.txt	190631	63934	140293	47813
20180509_0211_case_13_entities_3000_qlimit500_exact_d3_bn_1_false_false_true_PP.txt	21337	6095	19811	5073
20180509_0211_case_9_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	8153976	869692	7694813	776525
