Total number of entities to process: 3000
File	Case	Depth	BN	Min	Max	AvgQResults	AvgTok	TotalTime	AvgQT	Zero
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_9_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	9	1	1	3	883	97.584	197.96766666666667	10.631	0.08475416944629757	2
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_9_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	9	2	1	1	3386	483.04333333333335	257.2323333333333	45.568	0.3631711140760513	2
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_9_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	9	3	1	1	3148	490.74533333333335	29.670666666666666	100.718	0.8028068712474976	2
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_10_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	10	1	1	3	883	36.15	196.68766666666667	87.062	0.6961557705136756	2
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_10_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	10	2	1	0	1438	7.748333333333333	47.95333333333333	12.588	0.3053240556660043	2497
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_10_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	10	3	1	0	3000	3.363	38.348333333333336	17.069	0.5466171003717474	2731
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_11_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	11	1	1	3	883	36.15	196.68766666666667	86.813	0.6939452968645763	2
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_11_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	11	2	1	0	1438	7.744666666666666	47.912	16.005	0.40352286282306155	2497
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_11_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	11	3	1	0	3000	3.284	36.37433333333333	26.944	1.007492537313433	2732
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_13_entities_3000_qlimit500_exact_d1_bn_1_false_false_true_PP.txt	13	1	1	3	883	36.15	196.68766666666667	86.972	0.6953098732488315	2
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_13_entities_3000_qlimit500_exact_d2_bn_1_false_false_true_PP.txt	13	2	1	0	1438	7.744666666666666	47.912	16.845	0.44782107355864814	2497
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_13_entities_3000_qlimit500_exact_d3_bn_1_false_false_true_PP.txt	13	3	1	0	3000	3.123	36.37433333333333	28.089	1.112611940298507	2732
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_15_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	15	1	1	3	883	36.15	196.68766666666667	86.917	0.6948915943962635	2
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_15_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	15	2	1	0	1438	7.744666666666666	47.912	39.747	0.9534413518886687	2497
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_15_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	15	3	1	0	3000	3.203666666666667	34.21966666666667	298.672	8.782749999999998	2732
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_17_entities_3000_qlimit500_exact_d1_bn_1_false_true_false_PP.txt	17	1	1	3	883	36.15	196.68766666666667	86.844	0.6930570380253482	2
C:/Users/rizwan/Work/VirtuosoWalks/DBpedia/Walks/N1000/20180509_0132_case_17_entities_3000_qlimit500_exact_d2_bn_1_false_true_false_PP.txt	17	2	1	0	1438	7.744666666666666	47.912	42.903	1.0472683896620278	2497
