Wikidata_URI15,id,album,artist,date,rating,DBpedia_URI,label,DBpedia_URI15,YAGO_URI15
http://www.wikidata.org/entity/Q7913484,1,Van Lear Rose,Loretta Lynn,27-Apr-04,97,http://dbpedia.org/resource/Van_Lear_Rose,good,http://dbpedia.org/resource/Van_Lear_Rose,http://yago-knowledge.org/resource/Van_Lear_Rose
http://www.wikidata.org/entity/Q1036873,2,Histoire de Melody Nelson,Serge Gainsbourg,24-Mar-09,96,http://dbpedia.org/resource/Histoire_de_Melody_Nelson,good,http://dbpedia.org/resource/Histoire_de_Melody_Nelson,http://yago-knowledge.org/resource/Histoire_de_Melody_Nelson
http://www.wikidata.org/entity/Q378166,3,Stankonia,Outkast,31-Oct-00,95,http://dbpedia.org/resource/Stankonia,good,http://dbpedia.org/resource/Stankonia,http://yago-knowledge.org/resource/Stankonia
http://www.wikidata.org/entity/Q547624,4,My Beautiful Dark Twisted Fantasy,Kanye West,22-Nov-10,94,http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy,good,http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy,http://yago-knowledge.org/resource/My_Beautiful_Dark_Twisted_Fantasy
http://www.wikidata.org/entity/Q3474454,5,Savane,Ali Farka Toure,25-Jul-06,94,http://dbpedia.org/resource/Savane_(album),good,http://dbpedia.org/resource/Savane_(album),http://yago-knowledge.org/resource/Savane_(album)
http://www.wikidata.org/entity/Q6652026,6,Dolly,Dolly Parton,26-Oct-09,93,http://dbpedia.org/resource/Little_Sparrow,good,http://dbpedia.org/resource/Little_Sparrow,http://yago-knowledge.org/resource/Little_Sparrow
http://www.wikidata.org/entity/Q1990678,7,Live At Reading,Nirvana,3-Nov-09,93,http://dbpedia.org/resource/Live_at_Reading,good,http://dbpedia.org/resource/Live_at_Reading,http://yago-knowledge.org/resource/Live_at_Reading
http://www.wikidata.org/entity/Q2333298,8,Madvillainy,Madvillain,23-Mar-04,93,http://dbpedia.org/resource/Madvillainy,good,http://dbpedia.org/resource/Madvillainy,http://yago-knowledge.org/resource/Madvillainy
http://www.wikidata.org/entity/Q7091383,9,On the Impossible Past,The Menzingers,21-Feb-12,93,http://dbpedia.org/resource/On_the_Impossible_Past,good,http://dbpedia.org/resource/On_the_Impossible_Past,http://yago-knowledge.org/resource/On_the_Impossible_Past
http://www.wikidata.org/entity/Q252406,10,Boy In Da Corner,Dizzee Rascal,20-Jan-04,92,http://dbpedia.org/resource/Boy_in_da_Corner,good,http://dbpedia.org/resource/Boy_in_da_Corner,http://yago-knowledge.org/resource/Boy_in_da_Corner
