fname	caseno	depth	type	allTokens	uniqueTokens	allWalksPre	allWalksPost	allTokensPost	uniqueTokensPost
20180725_192852_q482994_spec_scaled_case_10_entities_4510_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	10	2	album	23145	22618	4629	4629	23145	22618
20180725_184524_q11424_freq_case_13_entities_4834_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	13	2	film	1448860	273148	289772	289772	1448860	273148
20180725_173841_q515_freq_case_13_entities_3239_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	13	1	city	123306	68192	41102	41102	123306	68192
20180725_174001_q515_spec_scaled_case_10_entities_3239_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	10	1	city	35517	17263	11839	11839	35517	17263
20180725_192724_q482994_freq_case_13_entities_4510_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	13	3	album	554518	152778	79219	79219	554518	152778
20180725_180109_q11424_uniform_case_6_entities_4834_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	6	2	film	7438723	1319323	1725698	1487749	7438723	1319291
20180725_193228_q515_uniform_case_6_entities_3239_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	6	2	city	3748056	678720	936764	749605	3748056	678705
20180725_192944_q6256_spec_case_9_entities_199_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	9	2	country	4660	3096	932	932	4660	3096
20180725_192944_q6256_spec_case_9_entities_199_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	9	3	country	0	0	0	0	0	0
20180725_191141_q482994_uniform_case_6_entities_4510_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	6	2	album	1613483	263256	322702	322702	1613483	263253
20180725_172919_q11424_freq_case_13_entities_4834_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	13	1	film	249882	123325	83294	83294	249882	123325
20180725_183822_q11424_freq_case_8_entities_4834_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	8	2	film	1448860	273148	289772	289772	1448860	273148
20180725_190953_q571_spec_scaled_case_10_entities_3000_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	10	2	book	1095	936	219	219	1095	936
20180725_185256_q571_uniform_case_6_entities_3000_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	6	3	book	9976597	771364	3418775	1425147	9976597	771083
20180725_180109_q11424_uniform_case_6_entities_4834_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	6	3	film	16421265	1288010	8360566	2345883	16421265	1287973
20180725_193216_q515_spec_case_9_entities_3239_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	9	2	city	852470	100977	170494	170494	852470	100977
20180725_192944_q6256_uniform_case_6_entities_199_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	6	3	country	690808	53226	321869	98686	690808	53223
20180725_173557_q6256_freq_case_13_entities_199_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	13	1	country	33639	15667	11213	11213	33639	15667
20180725_173600_q515_spec_case_9_entities_3239_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	9	1	city	79092	46061	26364	26364	79092	46061
20180725_192559_q482994_freq_case_8_entities_4510_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	8	3	album	554518	152778	79219	79219	554518	152778
20180725_193216_q6256_spec_scaled_case_10_entities_199_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	10	3	country	0	0	0	0	0	0
20180725_173215_q571_freq_case_13_entities_3000_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	13	1	book	58941	34871	19647	19647	58941	34871
20180725_173114_q571_freq_case_8_entities_3000_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	8	1	book	58941	34871	19647	19647	58941	34871
20180725_191010_q482994_spec_case_9_entities_4510_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	9	2	album	23145	22618	4629	4629	23145	22618
20180725_180052_q11424_spec_case_9_entities_4834_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	9	2	film	42205	23935	8441	8441	42205	23935
20180725_180052_q11424_spec_case_9_entities_4834_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	9	3	film	0	0	0	0	0	0
20180725_173553_q6256_freq_case_8_entities_199_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	8	1	country	33639	15667	11213	11213	33639	15667
20180725_190953_q571_spec_scaled_case_10_entities_3000_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	10	3	book	21007	21001	3001	3001	21007	21001
20180725_192944_q6256_uniform_case_6_entities_199_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	6	2	country	492355	68366	222907	98471	492355	68366
20180725_173600_q6256_spec_scaled_case_10_entities_199_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	10	1	country	0	0	0	0	0	0
20180725_185225_q11424_spec_scaled_case_10_entities_4834_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	10	2	film	37275	20667	7455	7455	37275	20667
20180725_195112_q515_spec_scaled_case_10_entities_3239_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	10	3	city	0	0	0	0	0	0
20180725_173635_q515_uniform_case_6_entities_3239_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	6	1	city	134211	74139	44737	44737	134211	74139
20180725_193132_q6256_freq_case_8_entities_199_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	8	3	country	520838	81706	217551	73430	520838	81706
20180725_192724_q482994_freq_case_13_entities_4510_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	13	2	album	703820	101394	140764	140764	703820	101394
20180725_191010_q482994_spec_case_9_entities_4510_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	9	3	album	97118	42708	13874	13874	97118	42708
20180725_183822_q11424_freq_case_8_entities_4834_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	8	3	film	5614369	696913	829191	798115	5614369	696913
20180725_173552_q6256_uniform_case_6_entities_199_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	6	1	country	40851	19997	13617	13617	40851	19997
20180725_173314_q482994_spec_case_9_entities_4510_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	9	1	album	39456	29206	13152	13152	39456	29206
20180725_190841_q571_freq_case_13_entities_3000_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	13	2	book	419470	73420	83894	83894	419470	73420
20180725_172828_q11424_freq_case_8_entities_4834_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	8	1	film	249882	123325	83294	83294	249882	123325
20180725_172800_q11424_spec_case_9_entities_4834_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	9	1	film	186861	91319	62287	62287	186861	91319
20180725_190841_q571_freq_case_13_entities_3000_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	13	3	book	794556	202236	113508	113508	794556	202236
20180725_193216_q6256_spec_scaled_case_10_entities_199_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	10	2	country	0	0	0	0	0	0
20180725_173051_q571_uniform_case_6_entities_3000_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	6	1	book	63039	37233	21013	21013	63039	37233
20180725_173543_q482994_spec_scaled_case_10_entities_4510_qlimit1000_exact_d1_bn_1_false_false_false_PP.txt	10	1	album	17355	14041	5785	5785	17355	14041
20180725_193155_q6256_freq_case_13_entities_199_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	13	2	country	231777	41113	48935	46261	231777	41113
20180725_191141_q482994_uniform_case_6_entities_4510_qlimit1000_exact_d3_bn_1_false_false_false_PP.txt	6	3	album	11921520	737987	2848536	1703079	11921520	737978
20180725_185256_q571_uniform_case_6_entities_3000_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	6	2	book	1736884	349223	348626	347377	1736884	349223
20180725_193132_q6256_freq_case_8_entities_199_qlimit1000_exact_d2_bn_1_false_false_false_PP.txt	8	2	country	231821	41119	48935	46261	231821	41119
